"date","aqs","pm25","o3"
2024-01-18 00:00:00,"Pinheiros",16,14
2024-01-18 01:00:00,"Pinheiros",11,NA
2024-01-18 02:00:00,"Pinheiros",16,22
2024-01-18 03:00:00,"Pinheiros",13,12
2024-01-18 04:00:00,"Pinheiros",21,7
2024-01-18 05:00:00,"Pinheiros",14,11
2024-01-18 06:00:00,"Pinheiros",11,17
2024-01-18 07:00:00,"Pinheiros",17,15
2024-01-18 08:00:00,"Pinheiros",15,17
2024-01-18 09:00:00,"Pinheiros",22,32
2024-01-18 10:00:00,"Pinheiros",9,51
2024-01-18 11:00:00,"Pinheiros",3,68
2024-01-18 12:00:00,"Pinheiros",7,78
2024-01-18 13:00:00,"Pinheiros",64,81
2024-01-18 14:00:00,"Pinheiros",14,87
2024-01-18 15:00:00,"Pinheiros",4,99
2024-01-18 16:00:00,"Pinheiros",17,112
2024-01-18 17:00:00,"Pinheiros",39,87
2024-01-18 18:00:00,"Pinheiros",32,48
2024-01-18 19:00:00,"Pinheiros",13,33
2024-01-18 20:00:00,"Pinheiros",21,37
2024-01-18 21:00:00,"Pinheiros",14,44
2024-01-18 22:00:00,"Pinheiros",20,47
2024-01-18 23:00:00,"Pinheiros",13,32
2024-01-19 00:00:00,"Pinheiros",12,35
2024-01-19 01:00:00,"Pinheiros",6,42
2024-01-19 02:00:00,"Pinheiros",8,32
2024-01-19 03:00:00,"Pinheiros",8,27
2024-01-19 04:00:00,"Pinheiros",6,38
2024-01-19 05:00:00,"Pinheiros",5,16
2024-01-19 06:00:00,"Pinheiros",8,NA
2024-01-19 07:00:00,"Pinheiros",7,14
2024-01-19 08:00:00,"Pinheiros",4,9
2024-01-19 09:00:00,"Pinheiros",8,26
2024-01-19 10:00:00,"Pinheiros",3,NA
2024-01-19 11:00:00,"Pinheiros",2,33
2024-01-19 12:00:00,"Pinheiros",9,34
2024-01-19 13:00:00,"Pinheiros",10,31
2024-01-19 14:00:00,"Pinheiros",4,45
2024-01-19 15:00:00,"Pinheiros",4,59
2024-01-19 16:00:00,"Pinheiros",10,68
2024-01-19 17:00:00,"Pinheiros",3,67
2024-01-19 18:00:00,"Pinheiros",20,50
2024-01-19 19:00:00,"Pinheiros",15,47
2024-01-19 20:00:00,"Pinheiros",8,27
2024-01-19 21:00:00,"Pinheiros",20,16
2024-01-19 22:00:00,"Pinheiros",9,10
2024-01-19 23:00:00,"Pinheiros",9,10
2024-01-20 00:00:00,"Pinheiros",5,26
2024-01-20 01:00:00,"Pinheiros",13,30
2024-01-20 02:00:00,"Pinheiros",16,37
2024-01-20 03:00:00,"Pinheiros",3,31
2024-01-20 04:00:00,"Pinheiros",13,41
2024-01-20 05:00:00,"Pinheiros",3,41
2024-01-20 06:00:00,"Pinheiros",1,44
2024-01-20 07:00:00,"Pinheiros",3,30
2024-01-20 08:00:00,"Pinheiros",0,31
2024-01-20 09:00:00,"Pinheiros",2,37
2024-01-20 10:00:00,"Pinheiros",7,38
2024-01-20 11:00:00,"Pinheiros",1,52
2024-01-20 12:00:00,"Pinheiros",2,56
2024-01-20 13:00:00,"Pinheiros",6,55
2024-01-20 14:00:00,"Pinheiros",15,59
2024-01-20 15:00:00,"Pinheiros",8,57
2024-01-20 16:00:00,"Pinheiros",8,54
2024-01-20 17:00:00,"Pinheiros",18,43
2024-01-20 18:00:00,"Pinheiros",10,38
2024-01-20 19:00:00,"Pinheiros",14,30
2024-01-20 20:00:00,"Pinheiros",6,22
2024-01-20 21:00:00,"Pinheiros",4,12
2024-01-20 22:00:00,"Pinheiros",8,11
2024-01-20 23:00:00,"Pinheiros",5,8
2024-01-21 00:00:00,"Pinheiros",10,5
2024-01-21 01:00:00,"Pinheiros",13,NA
2024-01-21 02:00:00,"Pinheiros",10,6
2024-01-21 03:00:00,"Pinheiros",11,7
2024-01-21 04:00:00,"Pinheiros",7,14
2024-01-21 05:00:00,"Pinheiros",5,22
2024-01-21 06:00:00,"Pinheiros",8,13
2024-01-21 07:00:00,"Pinheiros",9,16
2024-01-21 08:00:00,"Pinheiros",6,24
2024-01-21 09:00:00,"Pinheiros",4,33
2024-01-21 10:00:00,"Pinheiros",2,46
2024-01-21 11:00:00,"Pinheiros",7,49
2024-01-21 12:00:00,"Pinheiros",5,57
2024-01-21 13:00:00,"Pinheiros",2,75
2024-01-21 14:00:00,"Pinheiros",5,63
2024-01-21 15:00:00,"Pinheiros",22,32
2024-01-21 16:00:00,"Pinheiros",5,30
2024-01-21 17:00:00,"Pinheiros",6,29
2024-01-21 18:00:00,"Pinheiros",2,22
2024-01-21 19:00:00,"Pinheiros",1,23
2024-01-21 20:00:00,"Pinheiros",4,14
2024-01-21 21:00:00,"Pinheiros",2,21
2024-01-21 22:00:00,"Pinheiros",4,23
2024-01-21 23:00:00,"Pinheiros",4,21
2024-01-22 00:00:00,"Pinheiros",0,20
2024-01-22 01:00:00,"Pinheiros",0,26
